date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:40	13684/13684	---MCZ	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2001:18:39%20GMT	https://jacobchilds.info/	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/index.html	(from )
20:18:40	85/85	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2029%20May%202024%2001:18:39%20GMT	https://jacobchilds.info/robots.txt		(from )
20:18:40	165742/165742	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2029%20May%202024%2000:20:13%20GMT	https://jacobchilds.info/js/common-bundle.js?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/js/common-bundlec85d.js	(from https://jacobchilds.info/)
20:18:40	0/0	---M--	200	added ('OK')	text/javascript	date:Tue,%2028%20May%202024%2001:01:07%20GMT	https://jacobchilds.info/js/a188dd9fa6f10001d81e7f3ea4257c29-bundle.js?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/js/a188dd9fa6f10001d81e7f3ea4257c29-bundlec85d.js	(from https://jacobchilds.info/)
20:18:40	309785/309785	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2000:20:12%20GMT	https://jacobchilds.info/css/common-bundle.css?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/common-bundlec85d.css	(from https://jacobchilds.info/)
20:18:40	31499/31499	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2000:20:12%20GMT	https://jacobchilds.info/css/a188dd9fa6f10001d81e7f3ea4257c29-bundle.css?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/a188dd9fa6f10001d81e7f3ea4257c29-bundlec85d.css	(from https://jacobchilds.info/)
20:18:41	85120/85120	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202024%2001:01:04%20GMT	https://jacobchilds.info/gallery/ilya-pavlov-87438-unsplash-ts1559547018.jpg?ts=1716942008	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery/ilya-pavlov-87438-unsplash-ts155954701828d4.jpg	(from https://jacobchilds.info/)
20:18:41	13483/13483	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2001:18:41%20GMT	https://jacobchilds.info/About-me/	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/About-me/index.html	(from https://jacobchilds.info/)
20:18:41	14909/14909	---M-Z	200	added ('OK')	text/html	date:Wed,%2029%20May%202024%2001:18:41%20GMT	https://jacobchilds.info/Portfolio/	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/Portfolio/index.html	(from https://jacobchilds.info/)
20:18:41	5035/5035	---M--	200	added ('OK')	image/png	date:Tue,%2028%20May%202024%2001:01:03%20GMT	https://jacobchilds.info/gallery/eb6b9f776a4d4ba5802445cd6854d56d.lock.png?ts=1716942008	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery/eb6b9f776a4d4ba5802445cd6854d56d.lock28d4.png	(from https://jacobchilds.info/)
